도서번호,제목,저자,출판사,장르,토픽
L0001,21세기 미국의 패권과 지정학,피터 자이한,김앤김북스,로맨스/사랑,연애/사랑
L0002,21세기 자본,토마 피케티,글항아리,SF/과학,IT/기술
L0003,21세기 지정학과 미국의 패권전략,조지 프리드먼,김앤김북스,액션/스릴러,잠입/추격
L0004,21세기 한글 펜글씨 교본,이상남,정진출판사,추리/미스터리,살인/탐정
L0005,21세기를 위한 21가지 제언,유발 하라리,김영사,철학,논리/토론
L0006,229가지 자연의 맛 선재 스님의 사찰 음식,선재 스님,디자인하우스,인문,역사/종교
L0007,23일 만에 끝나는 정말이지 쉬운 한자 5급,현재진,한자북S(한자북스),드라마,행복/성장
L0008,24시간 고양이 육아 대백과,김효진,청림Life,드라마,행복/성장
L0009,26층 나무 집,앤디 그리피스,시공주니어,철학,인물/생각
L0010,27년 동안 영어 공부에 실패했던 39세 김과장은 어떻게 3개월 만에 영어 천재가 됐을까,김영익,비즈니스북스,에세이,성공/꿈
L0011,2미터 그리고 48시간,유은실,낮은산,에세이,여행/성공
L0012,2시간에 끝내는 한글영어 발음천사,Mike Hwang,마이클리시(miklish),SF/과학,과학/기술
L0013,2억 빚을 진 내게 우주님이 가르쳐준 운이 풀리는 말버릇,고이케 히로시,나무생각,공포/호러,귀신/범죄
L0014,2주 만에 끝내는 해커스 토익 스피킹 스타트,David cho,해커스어학연구소,로맨스/사랑,사랑/여자
L0015,3030 English,김지완,김영사,철학,추론/논리
L0016,3030 English 세트,김지완,김영사,추리/미스터리,탐정/범인
L0017,30년만의 휴식,이무석,비전과리더십,에세이,자기계발/여행
L0018,30분 통계학,구라타 히로시,길벗,철학,논리/토론
L0019,30일 완성 목소리 트레이닝,우지은,위즈덤하우스,드라마,성장/꿈
L0020,30일간의 글씨 연습,이해수,좋은날들,추리/미스터리,탐정/범죄
L0021,30평 아파트 대신 1000평 땅주인 된 엄마!,박보혜,청출판,드라마,성장/가족
L0022,312호에서는 303호 여자가 보인다,피터 스완슨,푸른숲,에세이,꿈/성공
L0023,33토익 335 생기초 LC+RC,능률영어교육연구소,NE능률,추리/미스터리,살인/탐정
L0024,35세 인서울 청약의 법칙,박지민,매일경제신문사,철학,인물/논리
L0025,365 월세 통장,윤수현,다산북스,인문,종교/인물
L0026,365 혼공 캘린더,한재우,위즈덤하우스,에세이,자기계발/꿈
L0027,365일 꽃 피는 정원 가꾸기,정계준,경상대학교출판부,철학,인물/논리
L0028,365일 소박한 레시피와 일상,와타나베 유코,디자인이음,로맨스/사랑,사랑/연애
L0029,365일 앵무새 키우기,시바타 유미코,라의눈,공포/호러,범죄/귀신
L0030,39층 나무 집,앤디 그리피스,시공주니어,철학,추론/논리
L0031,3D 입체 수학 책,DK 편집부,아이즐북스,인문,종교/역사
L0032,3D 입체 수학 책 4,편집부,미래엔아이세움,공포/호러,귀신/좀비
L0033,3D 프린터 101,안상준,한빛미디어,철학,논리/생각
L0034,3개의 소원 100일의 기적,이시다 히사쓰구,김영사,에세이,꿈/자기계발
L0035,3단 합체! 그레이트 미니카 종이접기,최광진,앤제이BOOKS,SF/과학,과학/기술
L0036,3세 아이에게 꼭 해줘야 할 49가지,편집부,중앙m&b,에세이,여행/꿈
