no,category_kdc,category_yes24,keywords_yes24
46,중국문학,null,null
81,생활문제,null,null
144,전집 총서,null,null
170,기술과학,null,null
202,전집 총서,null,null
226,의학,null,null
245,아시아,null,null
1396,경제각론,null,null
1431,인디아와 남부아시아,null,null
1514,경제각론,null,null
1879,국가와 개인 및 집단,null,null
2481,null,null,null
2608,칠공예,null,null
2639,철학 및 이론,null,null
2743,소설,null,null
2753,기술 철학 및 이론,null,null
2756,여성문제,null,null
2777,인도 철학 사상,null,null
2789,시,null,null
2996,기타 아시아 제문학,null,null
3016,nan,null,null
3232,시,null,null
3511,프로그래밍 프로그램 데이터,null,null
3607,인디아와 남부아시아,null,null
3640,창시자(교주) 및 제자,null,null
4791,시,null,null
4995,신문 저널리즘,null,null
5190,심리학각론,null,null
5254,지식 및 학문 일반,null,null
5742,사회학 사회문제,null,null
6819,null,null,null
6862,잡저,null,null
6916,잡저,null,null
6959,연속간행물,null,null
7013,행정법,null,null
8023,개인의 일반전집,null,null
8308,철학,null,null
8409,철학사,null,null
8501,철학 및 이론,null,null
8811,생활문제,null,null
8834,회화 도화 디자인,null,null
9780,서남아시아 제국 철학 사상,null,null
9904,일본 철학 사상,null,null
10070,논리학,null,null
10586,심리학각론,null,null
11282,심리학각론,null,null
11288,심리학각론,null,null
11299,심리학각론,null,null
11322,심리학각론,null,null
11566,차이심리학,null,null
11726,응용심리학 일반,null,null
11967,선교 포교 전도 교육활동,null,null
12385,자연과학,null,null
12528,북아메리카,null,null
12617,북아메리카,null,null
12618,아시아,null,null
12671,북아메리카,null,null
12832,인도-유럽어족,null,null
12988,시,null,null
13050,기타 다른 기원의 종교,null,null
13094,시,null,null
13184,사회사상,null,null
13571,사회사상,null,null
14171,사회사상,null,null
14316,잡저,null,null
14351,잡저,null,null
14579,null,null,null
14768,학회 단체 협회 기관 회의,null,null
15021,기호 수리 논리학,null,null
15247,사회복지,null,null
15512,콜롬비아,null,null
16565,사회학 사회문제,null,null
16609,사회학 사회문제,null,null
16625,사회학 사회문제,null,null
16631,사회학 사회문제,null,null
16635,사회학 사회문제,null,null
16694,사회학 사회문제,null,null
16842,사회학 사회문제,null,null
18460,생활문제,null,null
19271,북아메리카,null,null
19819,학회 단체 협회 기관 회의,null,null
19853,정치학,null,null
20946,연속간행물,null,null
21689,남아메리카 ,null,null
23128,사회복지,null,null
23266,교육학,null,null
23491,교육학,null,null
24911,국방 군사학,null,null
25091,형법,null,null
25577,국방 군사학,null,null
26646,자기,null,null
26725,전집 총서,null,null
26731,전집 총서,null,null
26857,사회학 사회문제,null,null
27015,null,null,null
27033,기술사,null,null
27216,기술사,null,null
27310,한의학,null,null
28698,미술사,null,null
28960,미사용 [6],null,null
29886,남아프리카,null,null
30341,의학,null,null
