title,writer,publication,callno,href
世界文學としての村上春樹,시전승이,"東京 :東京外國語大學出版會,2015",813.3 촌상춘시,https://library.cau.ac.kr/#/search/detail/6946196
村上春樹で世界を読む,중이철야,"東京 :祥伝社,2013",813.3 촌상춘중,https://library.cau.ac.kr/#/search/detail/6943668
"村上春樹とポストモダン・ジャパン :グローバル化の文化と文学 =Haruki Murakami and postmodern ""Japan"" : the culture of globalization and literature",삼포영일,"東京 :彩流社,2014",813.3 촌상춘삼,https://library.cau.ac.kr/#/search/detail/6943667
灌園先生日記 =(The) diary of Lin Hsien-t'ang,임헌당,"臺北 :中央硏究院臺灣史硏究所籌備處 :中央硏究院近代史硏究所,民國89[2000]~",952.092 임헌당허 v.7/v.8/v.9,https://library.cau.ac.kr/#/search/detail/504122
The organometallic chemistry of the transition metals,"Crabtree, Robert H","Hoboken, New Jersey :Wiley,2014.",547.056 C883o6,https://library.cau.ac.kr/#/search/detail/6977027
"Deleuze, Japanese cinema, and the atom bomb :the spectre of impossibility","Deamer, David","New York :Bloomsbury,2014.",791.430953 D279d,https://library.cau.ac.kr/#/search/detail/6977005
"Public health, ethics, and equity","Anand, Sudhir",Oxford,362.1 A533p,https://library.cau.ac.kr/#/search/detail/6976374
Complementary and alternative therapies for nursing practice,"Fontaine, Karen Lee","Boston :Pearson,c2015.",610.73 F678c4,https://library.cau.ac.kr/#/search/detail/6976361
Teaching grammar in second language classrooms :integrating form-focused instruction in communicative context,"Nassaji, Hossein","New York :Routledge,2011.",401.80071 N265t,https://library.cau.ac.kr/#/search/detail/6945839
Gucci :the making of,"Jebreal, Rula","New York :Rizzoli International Publications,c2011.",746.92092 G921g,https://library.cau.ac.kr/#/search/detail/6945776
Practical English language teaching :speaking,"Bailey, Kathleen M","New York :McGraw-Hill ESL/ELT,2005.",428.0071 N972ps,https://library.cau.ac.kr/#/search/detail/6942839
Intermediate microeconomics :a modern approach,"Varian, Hal R","New York :W. W. Norton & Co.,c2014.",338.5 V299i9,https://library.cau.ac.kr/#/search/detail/6785060
How Asia works :success and failure in the world's most dynamic region,"Studwell, Joe","New York :Grove Press,c2013.",332.095 S933h,https://library.cau.ac.kr/#/search/detail/6091103
Environmental science,"Miller, G. Tyler","Belmont, CA :Brooks/Cole,c2013.",333.72 M648e14,https://library.cau.ac.kr/#/search/detail/5765423
Vector calculus,"Marsden, Jerrold E","New York :W.H. Freeman,c2003",515.63 M364v5,https://library.cau.ac.kr/#/search/detail/5726867
"Robotics, vision and control :fundamental algorithms in MATLAB","Corke, Peter","Berlin :Springer ,2011.",629.892 C799r,https://library.cau.ac.kr/#/search/detail/5404044
"Why we love dogs, eat pigs, and wear cows:an introduction to carnism : the belief system that enables us to eat some animals and not others","Joy, Melanie","San Francisco :Conari Press,c2011.",614.36 J88w,https://library.cau.ac.kr/#/search/detail/5387171
The impact of attachment :developmental neuroaffective psychology,"Hart, Susan","New York :W.W. Norton,2011.",155.418 H326i,https://library.cau.ac.kr/#/search/detail/5240792
Understanding voltammetry,"Compton, Richard G","London :Imperial College Press,c2011.",541.37 C738u2,https://library.cau.ac.kr/#/search/detail/5192726
Manufacturing planning and control for supply chain management,"Jacobs, F. Robert","New York :McGraw-Hill,c2011.",658.5 J17m,https://library.cau.ac.kr/#/search/detail/5148151
